uniqueid,forecasting,tool tip,node name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
Price_HYUNDAI_IX35_2.0_ACTIVE,,2.0 ACTIVE,2.0 ACTIVE,Client Data:Competitor Price:XV Competitors:All Models:HYUNDAI IX35 ,0.5,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990
Price_HYUNDAI_IX35_2.0_ACTIVE_AUTO,,2.0 ACTIVE AUTO,2.0 ACTIVE AUTO,Client Data:Competitor Price:XV Competitors:All Models:HYUNDAI IX35 ,0.5,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990
Price_MITSUBISHI_ASX_2.0,,Price_MITSUBISHI_ASX_2.0,Price_MITSUBISHI_ASX_2.0,Client Data:Competitor Price:XV Competitors:All Models:MITSUBISHI ASX ,0.5,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,24990
Price_SKODA_YETI_2.0_103TDI_4X4,,2.0 103TDI 4X4,2.0 103TDI 4X4,Client Data:Competitor Price:XV Competitors:All Models:SKODA YETI ,0.5,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690
Price_SKODA_YETI_2.0_103TDI_4X4_DSG,,2.0 103TDI 4X4 DSG,2.0 103TDI 4X4 DSG,Client Data:Competitor Price:XV Competitors:All Models:SKODA YETI ,0.5,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990
Price_SKODA_YETI_1.2_77TSI,,1.2 77TSI,1.2 77TSI,Client Data:Competitor Price:XV Competitors:All Models:SKODA YETI ,0.5,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290
Price_SKODA_YETI_1.2_77TSI_DSG,,1.2 77TSI DSG,1.2 77TSI DSG,Client Data:Competitor Price:XV Competitors:All Models:SKODA YETI ,0.5,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590
Price_SUBARU_XV_2.0I,,2.0I,2.0I,Client Data:Subaru Price:All Models: XV ,0.5,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490
Price_SUBARU_XV_2.0I_LINEARTRONIC,,2.0I LINEARTRONIC,2.0I LINEARTRONIC,Client Data:Subaru Price:All Models: XV ,0.5,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990
Price_SUBARU_XV_2.0I_L,,2.0I L,2.0I L,Client Data:Subaru Price:All Models: XV ,0.5,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990
Price_SUBARU_XV_2.0I_L_LINEARTRONIC,,2.0I L LINEARTRONIC,2.0I L LINEARTRONIC,Client Data:Subaru Price:All Models: XV ,0.5,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490
Price_SUBARU_XV_2.0I_S,,2.0I S,2.0I S,Client Data:Subaru Price:All Models: XV ,0.5,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490
Price_SUBARU_XV_2.0I_S_LINEARTRONIC,,2.0I S LINEARTRONIC,2.0I S LINEARTRONIC,Client Data:Subaru Price:All Models: XV ,0.5,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990
Price_SUBARU_XV_2.0i-S,,2.0i-S,2.0i-S,Client Data:Subaru Price:All Models: XV ,0.5,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490
Price_SUBARU_XV_2.0i-L,,2.0i-L,2.0i-L,Client Data:Subaru Price:All Models: XV ,0.5,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490
