uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
Garry_Crick_Subaru_2271_B2_Brisbane_Overall_NPS,,Garry Crick Subaru_2271,Garry Crick Subaru_2271,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9,78.6
Bartons_Subaru_2297_B2_Brisbane_Overall_NPS,,Bartons Subaru_2297,Bartons Subaru_2297,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5
Wippells_Autos_2216_A_Northern_Overall_NPS,,Wippells Autos_2216,Wippells Autos_2216,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.7,80
North_Jacklin_Subaru_2285_B1_Northern_Overall_NPS,,North Jacklin Subaru_2285,North Jacklin Subaru_2285,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1,63.4
Bundaberg_Subaru_2224_B2_Northern_Overall_NPS,,Bundaberg Subaru_2224,Bundaberg Subaru_2224,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,67.9,75.7,61.5,45.7,68.4,57.1,100,28.6,28.6,64.3,85.7,46.4,73.2,42.9,71.4,64.3,78.6,75.7,72.9,85.7
Action_Subaru_2289_C2_Northern_Overall_NPS,,Action Subaru_2289,Action Subaru_2289,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,75,83.4,66.7,75.9,66.7,66.7,8.4,16.7,83.4,83.4,0,16.7,50.1,83.4,50,83.4,50.1,50.1,50.1
Action_Subaru_2289_C1_Northern_Overall_NPS,,Action Subaru_2289,Action Subaru_2289,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,37.5
Cambur_Subaru_18_A_Southern_Overall_NPS,,Cambur Subaru_18,Cambur Subaru_18,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,63.5,46.1,42.5,51.8,70,66.7,54.8,53.9,76.8,76.7,85,72.5,48.2,78.4,62.2,60,57.5,71.7,70
Innes_Motors_74_B1_Southern_Overall_NPS,,Innes Motors_74,Innes Motors_74,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7,90
Eastern_Subaru_85_A_Southern_Overall_NPS,,Eastern Subaru_85,Eastern Subaru_85,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,92.5
Traralgon_Subaru_35_B2_Southern_Overall_NPS,,Traralgon Subaru_35,Traralgon Subaru_35,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,54.2,75,83.4,91.7,79.3,60.7,31.1,61,50,79.2,95,57.5,85,85,80,55,68.8,70.7,95,78.4
Ballarat_Subaru_121_B1_Southern_Overall_NPS,,Ballarat Subaru_121,Ballarat Subaru_121,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,70
Warragul_Subaru_20_C2_Southern_Overall_NPS,,Warragul Subaru_20,Warragul Subaru_20,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,16.7,33.4,33.4,36.7,50,16.7,50,16.7,33.4,33.4,50,33.4,33.4,33.4,100,100,100,66.7,100
Ken_Muston_Automotive_77_B1_Southern_Overall_NPS,,Ken Muston Automotive_77,Ken Muston Automotive_77,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6,60
