uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,
WOI_XV_Adelaide,,XV_WOI_Adelaide,XV WOI Adelaide,Client Data:Subaru Sales:XV,0.5,31,105,73,73,58,60,63,55,58,50,67,60,61,51,166,35,65,113,43
Subaru_XV_Adelaide_Press_Advertiser_Metropolitan_Press,,Adelaide_Press_Advertiser,Adelaide_Press_Advertiser,Client Data:Subaru Marketing:All Marketing:Spots:XV:Adelaide:Press,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_Adelaide_Radio_NOVA_91.9_Metropolitan_Radio,,Adelaide_Radio_NOVA_91.9,Adelaide_Radio_NOVA_91.9,Client Data:Subaru Marketing:All Marketing:Spots:XV:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Subaru_XV_Adelaide_Television_7TWO_ADE_Metropolitan_Television,,Adelaide_Television_7TWO_ADE,Adelaide_Television_7TWO_ADE,Client Data:Subaru Marketing:All Marketing:Spots:XV:Adelaide:Television,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_Adelaide_Radio_MIX_102.3_Metropolitan_Radio,,Adelaide_Radio_MIX_102.3,Adelaide_Radio_MIX_102.3,Client Data:Subaru Marketing:All Marketing:Spots:XV:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Subaru_XV-Comp_Adelaide_Television_SBS2_ADL_Metropolitan_Television,,Comp_Adelaide_Television_SBS2_ADL,Comp_Adelaide_Television_SBS2_ADL,Client Data:Subaru Marketing:All Marketing:Spots:XV:Adelaide:Television,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_South_Australia_Advertiser-The_Adelaide_Magazine_Magazines,,South_Australia_Advertiser_The_Adelaide_Magazine,South_Australia_Advertiser_The_Adelaide_Magazine,Client Data:Subaru Marketing:All Marketing:Spots:XV:Adelaide:Magazines,0.5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOI_XV_Brisbane,,XV_WOI_Brisbane,XV WOI Brisbane,Client Data:Subaru Sales:XV,0.5,93,128,122,150,118,109,115,96,116,81,86,102,82,58,259,49,77,192,52
Subaru_XV_Brisbane_Television_QTQ9_Metropolitan_Television,,Brisbane_Television_QTQ9,Brisbane_Television_QTQ9,Client Data:Subaru Marketing:All Marketing:Spots:XV:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
Subaru_XV_Brisbane_Radio_97.3_Metropolitan_Radio,,Brisbane_Radio_97.3,Brisbane_Radio_97.3,Client Data:Subaru Marketing:All Marketing:Spots:XV:Brisbane:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
WOI_XV_Melbourne,,XV_WOI_Melbourne,XV WOI Melbourne,Client Data:Subaru Sales:XV,0.5,81,125,125,133,117,110,100,100,119,111,84,109,139,103,275,51,112,158,68
Subaru_XV_Melbourne_Television_GTV9_Metropolitan_Television,,Melbourne_Television_GTV9,Melbourne_Television_GTV9,Client Data:Subaru Marketing:All Marketing:Spots:XV:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
Subaru_XV_Melbourne_Radio_MIX_101.1_Metropolitan_Radio,,Melbourne_Radio_MIX_101.1,Melbourne_Radio_MIX_101.1,Client Data:Subaru Marketing:All Marketing:Spots:XV:Melbourne:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Subaru_XV_Melbourne_Press_The_Age_Metropolitan_Press,,Melbourne_Press_The_Age,Melbourne_Press_The_Age,Client Data:Subaru Marketing:All Marketing:Spots:XV:Melbourne:Press,0.5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_Melbourne_Press_Herald_Sun_Metropolitan_Press,,Melbourne_Press_Herald_Sun,Melbourne_Press_Herald_Sun,Client Data:Subaru Marketing:All Marketing:Spots:XV:Melbourne:Press,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_Melbourne_Television_GO_MELB_Metropolitan_Television,,Melbourne_Television_GO_MELB,Melbourne_Television_GO_MELB,Client Data:Subaru Marketing:All Marketing:Spots:XV:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WOI_XV_Perth,,XV_WOI_Perth,XV WOI Perth,Client Data:Subaru Sales:XV,0.5,107,148,125,150,137,130,131,111,151,128,120,102,138,83,289,68,104,220,64
Subaru_XV_Perth_Press_West_Australian_Metropolitan_Press,,Perth_Press_West_Australian,Perth_Press_West_Australian,Client Data:Subaru Marketing:All Marketing:Spots:XV:Perth:Press,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_Perth_Television_STW9_Metropolitan_Television,,Perth_Television_STW9,Perth_Television_STW9,Client Data:Subaru Marketing:All Marketing:Spots:XV:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
WOI_XV_Sydney,,XV_WOI_Sydney,XV WOI Sydney,Client Data:Subaru Sales:XV,0.5,186,290,246,260,239,223,247,189,252,213,217,228,271,190,490,116,227,409,137
Subaru_XV_Sydney_Press_Daily_Telegraph_Metropolitan_Press,,Sydney_Press_Daily_Telegraph,Sydney_Press_Daily_Telegraph,Client Data:Subaru Marketing:All Marketing:Spots:XV:Sydney:Press,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_Sydney_Television_TCN9_Metropolitan_Television,,Sydney_Television_TCN9,Sydney_Television_TCN9,Client Data:Subaru Marketing:All Marketing:Spots:XV:Sydney:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
