uniqueid,forecasting,tool tip,node name,Category,delta,Aug-10,Monthly,,,,,,,,,,,,,,,,,,,,
Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_C_Demonstrator_No_of_Offers_Make_Model_Grade,,Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_C_Demonstrator,SUV_2_0i_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:XV:Demonstrator,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_M6_Demonstrator_No_of_Offers_Make_Model_Grade,,Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_M6_Demonstrator,SUV_2_0i_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:XV:Demonstrator,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_M6_ReducedPricing_No_of_Offers_Make_Model_Grade,,Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_M6_ReducedPricing,SUV_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:XV:ReducedPricing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_M6_GiftCard_No_of_Offers_Make_Model_Grade,,Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_M6_GiftCard,SUV_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:XV:GiftCard,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_Demonstrator_No_of_Offers_Make_Model_Grade,,Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_Demonstrator,SUV_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:XV:Demonstrator,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_Sale_No_of_Offers_Make_Model_Grade,,Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_Sale,SUV_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:XV:Sale,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_Driveaway_No_of_Offers_Make_Model_Grade,,Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_Driveaway,SUV_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:XV:Driveaway,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_ReducedPricing_No_of_Offers_Make_Model_Grade,,Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_ReducedPricing,SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:XV:ReducedPricing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6_Driveaway_No_of_Offers_Make_Model_Grade,,Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6_Driveaway,SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:XV:Driveaway,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6_ReducedPricing_No_of_Offers_Make_Model_Grade,,Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6_ReducedPricing,SUV_2_0i_S_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:XV:ReducedPricing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
