Impactor,Impactee,value
WOI_XV_Overall,WOI_Subaru_Overall,0.95
WOI_Forester_Overall,WOI_Subaru_Overall,0.85
Retail_Sydney_Sydney_Newspaper_Sydney_Morning_Herald,WOI_Subaru_Overall,0.843546056
WOI_IMPREZA_Overall,WOI_Subaru_Overall,0.75
Retail_Sthn_NSW_Eastern_Region_Television_WIN_TV_Southern_NSW_(9),WOI_Subaru_Overall,0.73812713
Subaru_XV_SUV_2_0i_S_AWD_2L_5Dr_Petrol_M6_Pack_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.641814524
Subaru_XV_SUV_2_0i_S_AWD_2L_5Dr_Petrol_C_Pack_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.624524351
Retail_Sydney_Total,WOI_Subaru_Overall,0.596608462
Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6_Pack_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.573771039
Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_Pack_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.561617023
WOI_Liberty_Overall,WOI_Subaru_Overall,0.55
Retail_Sydney_Sydney_Newspaper_Sydney_Daily_Telegraph_(MIAUT),WOI_Subaru_Overall,0.53114533
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-Inflation,WOI_Subaru_Overall,0.5054
Eyesight_GL_10535005_6_Sthn_NSW_Eastern_Region_Television_Prime_Sthn_NSW_(7),WOI_Subaru_Overall,0.497572714
Eyesight_GL_10535005_6_Sthn_NSW_Eastern_Region_Television_Gem_Southern_NSW,WOI_Subaru_Overall,0.493212566
Eyesight_GL_10535005_6_National_Total,WOI_Subaru_Overall,0.480963
Price_MAZDA_CX-5_2.0_MAXX,WOI_Subaru_Overall,0.462981377
Price_MAZDA_CX-5_2.0_MAXX_AUTO,WOI_Subaru_Overall,0.459662281
Price_MAZDA_CX-5_2.0_MAXX_SPORT_AUTO,WOI_Subaru_Overall,0.456433289
Price_MAZDA_CX-5_2.2_T_DIESEL_MAXX_SPORT_4WD_AUTO,WOI_Subaru_Overall,0.454220509
Subaru_Forester_SUV_2_0_D_S_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_RRP,WOI_Subaru_Overall,0.452718345
Subaru_Forester_SUV_2_0_XT_Premium_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_RRP,WOI_Subaru_Overall,0.452064838
Brand_Ad_Recall_Subaru_Tas,WOI_Subaru_Overall,0.444969437
Price_SUBARU_FORESTER_2.0D_S,WOI_Subaru_Overall,0.435325134
Price_SUBARU_FORESTER_2.5I_S_LINEARTRONIC,WOI_Subaru_Overall,0.424874565
Price_MAZDA_CX-5_2.2_T_DIESEL_GRAND_TOURING_4WD_AUTO,WOI_Subaru_Overall,0.415944432
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-IndexNumberManufacturer,WOI_Subaru_Overall,0.406125
Subaru_Forester_SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,WOI_Subaru_Overall,0.398377195
Subaru_Forester_SUV_2_0_XT_Premium_AWD_2L_5Dr_Petrol_C_Demonstrator_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.392642091
AUD_CHF_Rate,WOI_Subaru_Overall,0.388075
Forester_(GL_10535001)_Sydney_Sydney_Television_ATN7,WOI_Subaru_Overall,0.385836156
Price_HONDA_CIVIC_2.0_SPORT_AUTO,WOI_Subaru_Overall,0.38069077
Eyesight_GL_10535005_6_National_Total,WOI_Subaru_Overall,0.371653228
Forester_(GL_10535001)_National_Total,WOI_Subaru_Overall,0.369869088
Impreza_(GL_10535002)_National_Total,WOI_Subaru_Overall,0.36830987
Retail_Northern_NSW_Eastern_Region_Television_Gem_Northern_NSW,WOI_Subaru_Overall,0.367366692
Retail_Victoria_Aggregated_Southern_Region_Television_Ten_Victoria_Aggregated_(10),WOI_Subaru_Overall,0.364263778
Forester_(GL_10535001)_Northern_NSW_Eastern_Region_Television_Ten_Northern_NSW,WOI_Subaru_Overall,0.363611428
Retail_Sthn_NSW_Eastern_Region_Television_Gem_Southern_NSW,WOI_Subaru_Overall,0.362403328
Subaru_Forester_SUV_2_5i_S_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_RRP,WOI_Subaru_Overall,0.361237408
Forester_(GL_10535001)_Northern_NSW_Eastern_Region_Television_7Mate_Northern_NSW,WOI_Subaru_Overall,0.360987122
Subaru_Forester_SUV_2_0_D_L_AWD_2L_5Dr_Diesel_M6_Demonstrator_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.353421684
Retail_Northern_NSW_Eastern_Region_Television_GO!_Northern_NSW,WOI_Subaru_Overall,0.353303372
Forester_(GL_10535001)_Victoria_Aggregated_Southern_Region_Television_SBS2_Victoria_Aggregated,WOI_Subaru_Overall,0.34259502
Forester_(GL_10535001)_Adelaide_Southern_Region_Television_7TWO_Adelaide,WOI_Subaru_Overall,0.342543498
XV_(GL_10535004)_Adelaide_Total,WOI_Subaru_Overall,0.340806128
Subaru_Forester_SUV_2_0_D_L_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_RRP,WOI_Subaru_Overall,0.339758828
Eyesight_GL_10535005_6_Victoria_Aggregated_Southern_Region_Television_SBS_Victoria_Aggregated,WOI_Subaru_Overall,0.334117396
Forester_(GL_10535001)_Brisbane_Brisbane_Television_BTQ7,WOI_Subaru_Overall,0.329837796
Retail_Victoria_Aggregated_Southern_Region_Television_7Mate__Victoria_Aggregated,WOI_Subaru_Overall,0.325457528
Forester_(GL_10535001)_Sthn_NSW_Southern_Region_Television_7Mate_Sthn_NSW,WOI_Subaru_Overall,0.323653582
Eyesight_GL_10535005_6_Victoria_Aggregated_Southern_Region_Television_11_Victoria_Aggregated,WOI_Subaru_Overall,0.322494528
Forester_(GL_10535001)_Northern_NSW_Eastern_Region_Television_11_Northern_NSW,WOI_Subaru_Overall,0.320593312
Forester_(GL_10535001)_Victoria_Aggregated_Southern_Region_Television_Ten_Victoria_Aggregated_(10),WOI_Subaru_Overall,0.319505266
Forester_(GL_10535001)_Victoria_Aggregated_Southern_Region_Television_WIN_TV_Victoria_Aggregated_(9),WOI_Subaru_Overall,0.317795914
Price_NISSAN_DUALIS_2.0_ST_XTRONIC_CVT,WOI_Subaru_Overall,0.317205076
Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_M6_Pack_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.316735492
policy_interest_rate_japan,WOI_Subaru_Overall,0.315875
Retail_Sydney_Sydney_Television_ONESYD,WOI_Subaru_Overall,0.314688318
Subaru_Forester_SUV_X_Luxury_Edition_AWD_2_5L_5Dr_Petrol_M5_Driveaway_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.313705174
Subaru_Forester_SUV_S_Edition_AWD_2_5L_5Dr_Petrol_A5_Pack_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.310870071
asx_open,WOI_Subaru_Overall,0.30685
asx_close,WOI_Subaru_Overall,0.30685
Subaru_Forester_SUV_2_0_D_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_RRP,WOI_Subaru_Overall,0.303590013
Price_SUBARU_OUTBACK_2.0D_PREMIUM,WOI_Subaru_Overall,0.303402644
Eyesight_GL_10535005_6_Victoria_Aggregated_Southern_Region_Television_7Mate__Victoria_Aggregated,WOI_Subaru_Overall,0.302786182
Price_SUBARU_FORESTER_2.0_XT_LINEARTRONIC,WOI_Subaru_Overall,0.301938642
nikkei_low,WOI_Subaru_Overall,0.297825
Forester_(GL_10535001)_Adelaide_Southern_Region_Television_NWS9,WOI_Subaru_Overall,0.295645578
Subaru_Forester_SUV_X_Luxury_Edition_AWD_2_5L_5Dr_Petrol_M5_LimitedEdition_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.295621372
MAKE_VEHICLES_THAT_YOU_WOULD_BE_PROUD_TO_OWN_SUBARU_Vehicle_Image,WOI_Subaru_Overall,0.292563188
Forester_(GL_10535001)_Sthn_NSW_Southern_Region_Television_11_Southern_NSW,WOI_Subaru_Overall,0.291952908
Forester_(GL_10535001)_Sydney_Sydney_Television_7TWO_Sydney,WOI_Subaru_Overall,0.290946128
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-No:ofunEmployed,WOI_Subaru_Overall,0.2888
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-Inflation(periodwise),WOI_Subaru_Overall,0.2888
AUD_CAD_Rate,WOI_Subaru_Overall,0.2888
Forester_(GL_10535001)_Adelaide_Total,WOI_Subaru_Overall,0.287196838
Forester_(GL_10535001)_National_National_Subscription_TV_Lifestyle_Home,WOI_Subaru_Overall,0.285858076
Forester_(GL_10535001)_National_Total,WOI_Subaru_Overall,0.285807932
Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_C_Pack_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.284664339
Impreza_(GL_10535002)_National_Total,WOI_Subaru_Overall,0.284603082
Forester_(GL_10535001)_Brisbane_Brisbane_Television_7TWO_BRIS,WOI_Subaru_Overall,0.281678416
asx_high,WOI_Subaru_Overall,0.28158
Retail_Adelaide_Southern_Region_Television_NWS9,WOI_Subaru_Overall,0.281335004
XV_(GL_10535004)_Melbourne_Southern_Region_Television_ATV10,WOI_Subaru_Overall,0.281205784
XV_(GL_10535004)_Melbourne_Southern_Region_Television_GTV9,WOI_Subaru_Overall,0.280887624
Retail_Adelaide_Southern_Region_Newspaper_Adelaide_Advertiser_(Newsnet),WOI_Subaru_Overall,0.280244362
Eyesight_GL_10535005_6_Northern_NSW_Eastern_Region_Television_7Mate_Northern_NSW,WOI_Subaru_Overall,0.274056992
XV_(GL_10535004)_Adelaide_Southern_Region_Television_ADS10,WOI_Subaru_Overall,0.27376945
Subaru_Forester_SUV_2_5i_AWD_2_5L_5Dr_Petrol_C_Demonstrator_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.272804613
XV_(GL_10535004)_Adelaide_Southern_Region_Television_SAS7,WOI_Subaru_Overall,0.27259376
