uniqueid,forecasting,tool tip,node name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
Price_HYUNDAI_IX35_2.0_CRDI_HIGHLANDER_4WD_AUTO,,2.0 CRDI HIGHLANDER 4WD AUTO,2.0 CRDI HIGHLANDER 4WD AUTO,Client Data:Competitor Price:XV Competitors:All Models:HYUNDAI IX35 ,0.5,38490,38490,38490,38490,38490,38490,38490,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990
Price_HYUNDAI_IX35_2.0_CRDI_ELITE_4WD_AUTO,,2.0 CRDI ELITE 4WD AUTO,2.0 CRDI ELITE 4WD AUTO,Client Data:Competitor Price:XV Competitors:All Models:HYUNDAI IX35 ,0.5,35490,35490,35490,35490,35490,35490,35490,37590,37590,37590,37590,37590,37590,37590,37590,37590,37590,37590,37590,37590
Price_HYUNDAI_IX35_2.0_ACTIVE,,2.0 ACTIVE,2.0 ACTIVE,Client Data:Competitor Price:XV Competitors:All Models:HYUNDAI IX35 ,0.5,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990,26990
Price_HYUNDAI_IX35_2.0_ACTIVE_AUTO,,2.0 ACTIVE AUTO,2.0 ACTIVE AUTO,Client Data:Competitor Price:XV Competitors:All Models:HYUNDAI IX35 ,0.5,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990,28990
Price_HYUNDAI_IX35_2.4_HIGHLANDER_4WD_AUTO,,2.4 HIGHLANDER 4WD AUTO,2.4 HIGHLANDER 4WD AUTO,Client Data:Competitor Price:XV Competitors:All Models:HYUNDAI IX35 ,0.5,35490,35490,35490,35490,35490,35490,35490,37590,37590,37590,37590,37590,37590,37590,37590,37590,37590,37590,37590,37590
Price_HYUNDAI_IX35_2.4_ELITE_4WD_AUTO,,2.4 ELITE 4WD AUTO,2.4 ELITE 4WD AUTO,Client Data:Competitor Price:XV Competitors:All Models:HYUNDAI IX35 ,0.5,32490,32490,32490,32490,32490,32490,32490,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990
Price_JEEP_COMPASS_2.4_LIMITED_4WD_AUTO,,2.4 LIMITED 4WD AUTO,2.4 LIMITED 4WD AUTO,Client Data:Competitor Price:XV Competitors:All Models:JEEP COMPASS ,0.5,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34500,34500,34500,34500,34500,34500,35500,35500,35500
Price_JEEP_COMPASS_2.0_SPORT_2WD_AUTO,,2.0 SPORT 2WD AUTO,2.0 SPORT 2WD AUTO,Client Data:Competitor Price:XV Competitors:All Models:JEEP COMPASS ,0.5,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28650,28650,28650,28650,28650,28650,29000,29000,29000
Price_JEEP_PATRIOT_2.4_LIMITED_AUTO,,2.4 LIMITED AUTO,2.4 LIMITED AUTO,Client Data:Competitor Price:XV Competitors:All Models:JEEP PATRIOT ,0.5,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,33000,33000,33000,33000,33000,33000,34000,34000,34000
Price_JEEP_PATRIOT_2.0_SPORT_2WD,,2.0 SPORT 2WD,2.0 SPORT 2WD,Client Data:Competitor Price:XV Competitors:All Models:JEEP PATRIOT ,0.5,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25150,25150,25150,25150,25150,25150,25700,25700,25700
Price_JEEP_PATRIOT_2.0_SPORT_2WD_AUTO,,2.0 SPORT 2WD AUTO,2.0 SPORT 2WD AUTO,Client Data:Competitor Price:XV Competitors:All Models:JEEP PATRIOT ,0.5,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27150,27150,27150,27150,27150,27150,27700,27700,27700
