uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,
Hyundai_ix35_Santa_Fe_4WD-Retail_Adelaide_Television_NWS9_Metropolitan_Television,,Santa_Fe_4WDRetail_Adelaide_Television_NWS9,Santa_Fe_4WDRetail_Adelaide_Television_NWS9,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Adelaide_Television_ADS10_Metropolitan_Television,,4WDRetail_Adelaide_Television_ADS10,4WDRetail_Adelaide_Television_ADS10,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,2
Hyundai_ix35_4WD-Retail_Adelaide_Radio_CRUISE_1323_Metropolitan_Radio,,4WDRetail_Adelaide_Radio_CRUISE_1323,4WDRetail_Adelaide_Radio_CRUISE_1323,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Radio,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Adelaide_Television_ADS10_Metropolitan_Television,,4WD_Adelaide_Television_ADS10,4WD_Adelaide_Television_ADS10,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hyundai_ix35_Santa_Fe_4WD-Retail_Adelaide_Television_7Mate_ADE_Metropolitan_Television,,Santa_Fe_4WDRetail_Adelaide_Television_7Mate_ADE,Santa_Fe_4WDRetail_Adelaide_Television_7Mate_ADE,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Adelaide_Television_SAS7_Metropolitan_Television,,4WDRetail_Adelaide_Television_SAS7,4WDRetail_Adelaide_Television_SAS7,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,2,0,4,0,0,0,8,5,0,0,0,0,3,2,0,5,2,6
Hyundai_ix35_4WD-Retail_Adelaide_Television_GEM_ADE_Metropolitan_Television,,4WDRetail_Adelaide_Television_GEM_ADE,4WDRetail_Adelaide_Television_GEM_ADE,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Adelaide_Television_GO_ADE_Metropolitan_Television,,4WD_Adelaide_Television_GO_ADE,4WD_Adelaide_Television_GO_ADE,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Adelaide_Television_NWS9_Metropolitan_Television,,4WDRetail_Adelaide_Television_NWS9,4WDRetail_Adelaide_Television_NWS9,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,3,0,0,0,9,19,0,0,0,0,2,2,1,3,4,11
Hyundai_ix35_4WD_Adelaide_Radio_MIX_102.3_Metropolitan_Radio,,4WD_Adelaide_Radio_MIX_102.3,4WD_Adelaide_Radio_MIX_102.3,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,1,1
Hyundai_ix35_4WD_Adelaide_Television_7TWO_ADE_Metropolitan_Television,,4WD_Adelaide_Television_7TWO_ADE,4WD_Adelaide_Television_7TWO_ADE,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Adelaide_Radio_FIVEAA_Metropolitan_Radio,,4WDRetail_Adelaide_Radio_FIVEAA,4WDRetail_Adelaide_Radio_FIVEAA,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Hyundai_ix35_4WD-Retail_Adelaide_Radio_MIX_102.3_Metropolitan_Radio,,4WDRetail_Adelaide_Radio_MIX_102.3,4WDRetail_Adelaide_Radio_MIX_102.3,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Radio,0.5,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,5
Hyundai_ix35_4WD_Adelaide_Radio_CRUISE_1323_Metropolitan_Radio,,4WD_Adelaide_Radio_CRUISE_1323,4WD_Adelaide_Radio_CRUISE_1323,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Adelaide_Television_GO_ADE_Metropolitan_Television,,4WDRetail_Adelaide_Television_GO_ADE,4WDRetail_Adelaide_Television_GO_ADE,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
