uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
Tynan_Subaru_Wollongong_1151_A_Sydney_Overall_NPS,,Tynan Subaru Wollongong_1151,Tynan Subaru Wollongong_1151,Client Data:Subaru Dealers:NPS:Overall:Sydney,0.5,0,71.7,64.8,56.4,62.7,72.5,60,43.8,72.5,40,61,55,85,52.2,65,82.5,73.4,72.5,53.4,80
Subaru_Waitara_1638_Z_Sydney_Overall_NPS,,Subaru Waitara_1638,Subaru Waitara_1638,Client Data:Subaru Dealers:NPS:Overall:Sydney,0.5,0,78.3,89.1,77.5,83.2,80,73.9,81.5,82.1,80,92.5,92.5,85,64.2,84.7,84.4,86.6,68.2,91.3,87.5
Tom_Kerr_Auto_Centre_1106_A_Sydney_Overall_NPS,,Tom Kerr Auto Centre_1106,Tom Kerr Auto Centre_1106,Client Data:Subaru Dealers:NPS:Overall:Sydney,0.5,0,67.5,70,72.5,65.2,67.5,45,57.5,67.5,70,57.5,67.5,83,60,65,80,70,70,70,
Bill_Buckle_Subaru_1113a_A_Sydney_Overall_NPS,,Bill Buckle Subaru_1113a,Bill Buckle Subaru_1113a,Client Data:Subaru Dealers:NPS:Overall:Sydney,0.5,0,25,55,50,55.2,55,60,75,70,70,40,88.9,80,70,75,45,70,31.2,40,75
Nowra_Subaru_1166_B2_Sydney_Overall_NPS,,Nowra Subaru_1166,Nowra Subaru_1166,Client Data:Subaru Dealers:NPS:Overall:Sydney,0.5,67.9,100,78.6,100,86.6,95,72.5,95,100,92.9,80.4,87.5,82.9,65,82.9,81.7,75,85,85,85
Bill_Buckle_Subaru_1113_A_Sydney_Overall_NPS,,Bill Buckle Subaru_1113,Bill Buckle Subaru_1113,Client Data:Subaru Dealers:NPS:Overall:Sydney,0.5,0,60,52.5,53.4,52.3,45,60,40,46.4,37.5,75.1,71.1,62.5,55.6,62.5,87.5,65.9,51.5,60,67.4
Tynan_Motors_1136_A_Sydney_Overall_NPS,,Tynan Motors_1136,Tynan Motors_1136,Client Data:Subaru Dealers:NPS:Overall:Sydney,0.5,0,47.5,52.5,38.8,47.4,53.6,50,50,57.5,67.5,63,64.6,75,62.5,72.5,75,37.5,53.4,30,67.5
Subaru_Service_Castle_Hill_1636_Z_Sydney_Overall_NPS,,Subaru Service Castle Hill_1636,Subaru Service Castle Hill_1636,Client Data:Subaru Dealers:NPS:Overall:Sydney,0.5,0,30,70,85,72,80,65,65,70,85,84.2,70,80,95,75,90,90,95,90,85
Suttons_Subaru_Rosebery_1165_A_Sydney_Overall_NPS,,Suttons Subaru Rosebery_1165,Suttons Subaru Rosebery_1165,Client Data:Subaru Dealers:NPS:Overall:Sydney,0.5,0,80,67.5,56.9,62.8,72.1,57.5,55,70,70,65,79.2,80,52.5,60,72.5,82,85,80,68.9
Sydney_City_Subaru_1112_A_Sydney_Overall_NPS,,Sydney City Subaru_1112,Sydney City Subaru_1112,Client Data:Subaru Dealers:NPS:Overall:Sydney,0.5,0,61,65,61.2,62,70,77.5,65,72.5,71.5,70,77.5,82.5,72.5,72.5,62.5,67.5,75,65,67.5
Suttons_Subaru_-_Chullora_1155_A_Sydney_Overall_NPS,,Suttons Subaru - Chullora_1155,Suttons Subaru - Chullora_1155,Client Data:Subaru Dealers:NPS:Overall:Sydney,0.5,0,71.3,78.4,70.7,79.1,87.5,65,90.9,75,77.3,71.3,65.8,53.3,68.3,68.4,74.4,79.8,71.4,72.5,81.5
