uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
IS_AN_INNOVATIVE_COMPANY_SUBARU_Corporate_Image,,IS_AN_INNOVATIVE_COMPANY_,IS_AN_INNOVATIVE_COMPANY_,Client Data:Roy Morgan:Corporate_Image,0.5,0.19,0.197,0.153,0.147,0.148,0.167,0.161,0.159,0.158,0.144,0.133,0.149,0.162,0.137,0.114,0.111,0.1,0.105,0.089,0.101
PRODUCE_WORLD_CLASS_VEHICLES_SUBARU_Corporate_Image,,PRODUCE_WORLD_CLASS_VEHICLES_,PRODUCE_WORLD_CLASS_VEHICLES_,Client Data:Roy Morgan:Corporate_Image,0.5,0.256,0.258,0.242,0.263,0.263,0.274,0.247,0.243,0.199,0.187,0.16,0.165,0.162,0.163,0.171,0.196,0.172,0.163,0.16,0.162
SUCCESSFUL_IN_MOTORSPORT_SUBARU_Corporate_Image,,SUCCESSFUL_IN_MOTORSPORT_,SUCCESSFUL_IN_MOTORSPORT_,Client Data:Roy Morgan:Corporate_Image,0.5,0.249,0.233,0.243,0.242,0.218,0.212,0.21,0.229,0.197,0.184,0.162,0.178,0.17,0.159,0.174,0.168,0.151,0.134,0.154,0.156
HAVE_ATTRACTIVE_ADVERTISING_AND_SALES_PROMOTIONS_SUBARU_Corporate_Image,,HAVE_ATTRACTIVE_ADVERTISING_AND_SALES_PROMOTIONS_,HAVE_ATTRACTIVE_ADVERTISING_AND_SALES_PROMOTIONS_,Client Data:Roy Morgan:Corporate_Image,0.5,0.102,0.072,0.078,0.064,0.093,0.091,0.083,0.079,0.079,0.076,0.062,0.069,0.082,0.089,0.078,0.074,0.073,0.073,0.06,0.065
A_COMPANY_THAT_CAN_BE_TRUSTED_SUBARU_Corporate_Image,,A_COMPANY_THAT_CAN_BE_TRUSTED_,A_COMPANY_THAT_CAN_BE_TRUSTED_,Client Data:Roy Morgan:Corporate_Image,0.5,0.173,0.168,0.214,0.215,0.206,0.166,0.186,0.206,0.205,0.201,0.159,0.162,0.143,0.165,0.178,0.178,0.185,0.189,0.211,0.187
BUILD_VEHICLES_IN_AUSTRALIA_SUBARU_Corporate_Image,,BUILD_VEHICLES_IN_AUSTRALIA_,BUILD_VEHICLES_IN_AUSTRALIA_,Client Data:Roy Morgan:Corporate_Image,0.5,0.001,0,0,0.003,0.009,0.009,0.006,0.001,0.001,0,0.004,0.004,0.004,0,0,0.001,0.001,0.001,0,0.001
MANAGE_THEMSELVES_SUCCESSFULLY_SUBARU_Corporate_Image,,MANAGE_THEMSELVES_SUCCESSFULLY_,MANAGE_THEMSELVES_SUCCESSFULLY_,Client Data:Roy Morgan:Corporate_Image,0.5,0.237,0.227,0.171,0.166,0.155,0.169,0.131,0.159,0.167,0.188,0.149,0.129,0.113,0.12,0.106,0.125,0.114,0.145,0.133,0.131
MAKE_ADVERTISING_THAT_SPEAKS_TO_ME_SUBARU_Corporate_Image,,MAKE_ADVERTISING_THAT_SPEAKS_TO_ME_,MAKE_ADVERTISING_THAT_SPEAKS_TO_ME_,Client Data:Roy Morgan:Corporate_Image,0.5,0.061,0.056,0.05,0.043,0.044,0.049,0.052,0.062,0.069,0.073,0.055,0.052,0.029,0.03,0.032,0.056,0.053,0.061,0.034,0.035
MAKING_AN_EFFORT_TO_BE_ENVIRONMENTALLY_FRIENDLY_SUBARU_Corporate_Image,,MAKING_AN_EFFORT_TO_BE_ENVIRONMENTALLY_FRIENDLY_,MAKING_AN_EFFORT_TO_BE_ENVIRONMENTALLY_FRIENDLY_,Client Data:Roy Morgan:Corporate_Image,0.5,0.039,0.039,0.045,0.042,0.052,0.031,0.048,0.063,0.066,0.063,0.044,0.047,0.035,0.041,0.043,0.063,0.054,0.067,0.058,0.058
CONCERNED_ABOUT_THE_WELL-BEING_OF_AUSTRALIA_SUBARU_Corporate_Image,,CONCERNED_ABOUT_THE_WELL-BEING_OF_AUSTRALIA_,CONCERNED_ABOUT_THE_WELL-BEING_OF_AUSTRALIA_,Client Data:Roy Morgan:Corporate_Image,0.5,0.01,0.006,0.001,0.003,0.005,0.005,0.011,0.008,0.018,0.011,0.014,0.009,0.012,0.008,0.004,0.003,0.024,0.033,0.032,0.014
MAKE_RELIABLE_DEPENDABLE_VEHICLES_SUBARU_Vehicle_Image,,MAKE_RELIABLE_DEPENDABLE_VEHICLES_,MAKE_RELIABLE_DEPENDABLE_VEHICLES_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.383,0.354,0.379,0.391,0.379,0.305,0.27,0.296,0.283,0.289,0.236,0.275,0.29,0.323,0.315,0.316,0.282,0.268,0.24,0.244
MAKE_VEHICLES_WITH_GOOD_SAFETY_FEATURES_SUBARU_Vehicle_Image,,MAKE_VEHICLES_WITH_GOOD_SAFETY_FEATURES_,MAKE_VEHICLES_WITH_GOOD_SAFETY_FEATURES_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.307,0.317,0.326,0.326,0.319,0.255,0.227,0.247,0.233,0.232,0.205,0.256,0.272,0.266,0.248,0.28,0.236,0.224,0.177,0.219
MAKE_VEHICLES_WITH_GOOD_FUEL_ECONOMY_SUBARU_Vehicle_Image,,MAKE_VEHICLES_WITH_GOOD_FUEL_ECONOMY_,MAKE_VEHICLES_WITH_GOOD_FUEL_ECONOMY_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.147,0.126,0.098,0.103,0.11,0.079,0.071,0.1,0.105,0.095,0.072,0.102,0.105,0.092,0.078,0.093,0.081,0.089,0.096,0.128
MAKE_VEHICLES_WITH_A_HIGH_LEVEL_OF_TECHNOLOGY_SUBARU_Vehicle_Image,,MAKE_VEHICLES_WITH_A_HIGH_LEVEL_OF_TECHNOLOGY_,MAKE_VEHICLES_WITH_A_HIGH_LEVEL_OF_TECHNOLOGY_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.164,0.215,0.212,0.217,0.196,0.218,0.172,0.175,0.139,0.144,0.102,0.132,0.141,0.169,0.142,0.176,0.128,0.134,0.101,0.128
MAKE_VEHICLES_WHICH_ARE_GOOD_VALUE_FOR_MONEY_SUBARU_Vehicle_Image,,MAKE_VEHICLES_WHICH_ARE_GOOD_VALUE_FOR_MONEY_,MAKE_VEHICLES_WHICH_ARE_GOOD_VALUE_FOR_MONEY_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.159,0.124,0.116,0.12,0.115,0.113,0.108,0.104,0.11,0.106,0.107,0.092,0.075,0.084,0.099,0.149,0.133,0.132,0.105,0.12
BUILD_VEHICLES_FOR_AUSTRALIAN_ROADS_AND_CONDITIONS_SUBARU_Vehicle_Image,,BUILD_VEHICLES_FOR_AUSTRALIAN_ROADS_AND_CONDITIONS_,BUILD_VEHICLES_FOR_AUSTRALIAN_ROADS_AND_CONDITIONS_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.149,0.17,0.155,0.173,0.14,0.138,0.124,0.158,0.151,0.151,0.12,0.139,0.149,0.167,0.163,0.173,0.178,0.173,0.176,0.16
MAKE_VEHICLES_WITH_GOOD_RESALE_VALUE_SUBARU_Vehicle_Image,,MAKE_VEHICLES_WITH_GOOD_RESALE_VALUE_,MAKE_VEHICLES_WITH_GOOD_RESALE_VALUE_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.228,0.272,0.265,0.265,0.212,0.189,0.149,0.182,0.195,0.211,0.167,0.174,0.155,0.147,0.106,0.145,0.131,0.145,0.101,0.116
